artist_name,popularity
As Poderosas,10
Augan,44
Bailey Zimmerman,73
Two Muses After,46
Ruffnux,50
Julien Granel,36
Adèle Castillon,60
Wood Boy,12
Romain Pilon,22
Pierre de Maere,53
Adele,82
Dimitri Vegas & Like Mike,73
Bekar,60
Alexia Gredy,31
Johnny Jane,41
R.K.M & Ken-Y,65
Rsko,60
Zedd,72
1863,36
JE T’AIME,15
MadeInParis,49
Luther Vandross,62
JMK$,36
Moha MMZ,43
MALTY 2BZ,45
Renan Luce,45
Camille Schneyder,29
Niaks,57
Rimkus,52
Guy2Bezbar,59
Valentin Hadjadj,27
Dj LK da Escócia,50
DJ GUDOG,55
DJ AG O GRINGO,49
MC Teuzin PV,53
Idris Muhammad,41
Os Quebradeiras,44
MC Xenon,54
MC MENOR HR,48
Mc Tato,55
DJ Patrick R,52
MC Zudo Boladão,53
MC Kevin o Chris,72
DJ Dozabri,55
Mc Aleff,46
MC Lucks,45
Lgzin e cabelinho,34
Mc Rodrigo do CN,65
DJ Vilão DS,52
Vulgo FK,71
DJ GB DA DISNEY,36
VAAV Social Club,22
Zai Kowen,25
MC John JB,36
CLUB DA DZ7,53
Chefin,69
Mc Vuk Vuk,57
Matthias Bublath,29
Leandro e as Abusadas,33
Dyamante DJ,48
Mc Souza,45
DJ Jonatas Felipe,59
Kweller,52
Oruam,72
DJ DUARTE,47
Swatkins,33
DJ ALEX NTC,26
Mc Daniel,73
Kotim,62
Mc Gabzin,54
JC NO BEAT,43
DJ Gouveia,51
DJ TITÍ OFICIAL,43
Les Claypool,38
DJ MP7 013,48
Jr. Walker & The All Stars,45
Mc Menor Do Alvorada,68
Dj Jota v da inestan,25
DJ CIRILO DE CAXIAS,40
Mc J Mito,56
Igor Gonya,28
Lost Traveler ロスト,20
Discoholic,23
MC Cebezinho,69
Lando Burch,17
MC Durrony,40
Dj Leo Lg,52
DJ Yella,44
Gabb MC,68
Matt Steidle & That's The Breaks,0
MC CH da Z.O,43
DJ VINI DA ZO,46
DJ Paulinho Mondi Da Baixa Baviera,51
MC LD,36
DJ JOAO DA INESTAN,64
Morris Day,25
Funky Dee,18
The Seven Ups,21
Dj Kaio Lopes,45
MC Tuto,70
MC Menor MT,60
Low Roar,50
Mc Danflin,47
Shiruetto,18
Charles Stepney,23
Matheus Ryder,33
DJ Blakes,56
FederFunk,9
Minuit Cafe,13
Igor vilão,46
Club do hype,31
DJ GUIZIN DA SERRA,55
Dogger,31
Lexa Hill,32
DJ JR Oficial,48
MC Gustavinho,45
DJ WOODY ORIGINAL,51
Silva Mc,57
DJ ESCOBAR,55
Mc Vigarista,35
King X Silvera,0
DJ Danilinho Beat,40
DJ MATHEUS HENRIQUE,46
DJ L7 da ZN,47
Bare Wires,4
