artist_name,popularity
Miike Snow,53
Victimas Del Doctor Cerebro,44
Tenth Avenue North,48
Britt Nicole,47
Hinder,59
Saint Motel,62
Passion,59
The Heavy,56
Fred Eaglesmith,35
DIIV,52
Shovels & Rope,43
St. Lucia,43
The Menzingers,49
Young Guns,33
Fobia,54
Justin Townes Earle,50
Inspector,63
Natalia Lafourcade,71
David Crowder Band,46
Michael W. Smith,57
Evans Blue,52
Billy Bragg,49
Plumb,46
Kaiser Chiefs,57
The Black Keys,71
Throw The Fight,40
Tenacious D,63
Pantera,67
of Montreal,50
The Hives,57
The Brothers Bright,38
HELLYEAH,51
Rhett Walker,44
The Walkmen,43
Flatfoot 56,29
Silversun Pickups,52
Kari Jobe,58
The Revivalists,56
Cady Groves,28
Enjambre,66
Dread Mar I,69
Grizzly Bear,52
MercyMe,60
Papa Roach,70
Black Pistol Fire,47
Brandon Heath,46
The Be Good Tanyas,46
Los Auténticos Decadentes,64
The Veer Union,43
Rival Sons,50
El Cuarteto De Nos,68
Anberlin,50
Café Tacvba,66
Daryl Hall & John Oates,74
Django Reinhardt,49
Becky G,76
AWOLNATION,59
Celldweller,50
Japandroids,33
Rob Zombie,66
Tift Merritt,34
Galileo Galilei,43
Incubus,68
Mœnia,60
Hot Chip,50
Empire Of The Sun,75
Cloud Nothings,42
No Doubt,67
DLD,60
Family Force 5,38
The Magnetic Fields,52
Moderatto,59
Bomba Estéreo,66
No Te Va Gustar,66
Sent By Ravens,32
Sun Kil Moon,45
Turbowolf,35
Zoé,70
Brick + Mortar,46
Monsieur Periné,56
Project 86,33
Battle Tapes,42
Kutless,44
Hillsong UNITED,67
Angel Olsen,49
John Fullbright,28
Bloc Party,59
Candlebox,51
Old Crow Medicine Show,53
Soundgarden,66
Group 1 Crew,31
Garbage,56
Gaby Moreno,58
Palaye Royale,58
More Amor,16
Mexican Institute Of Sound,43
Luminate,23
Testament,56
Hello Seahorse!,43
Helvetia,40
Damien Jurado,45
KJ-52,33
Jason Isbell and the 400 Unit,52
Wrinkle Neck Mules,20
Marilyn Manson,67
The Flatlanders,32
The Classic Crime,33
Peter Furler,24
Jadon Lavik,44
Fireflight,40
Cowboy Junkies,45
mitsume,33
Sleigh Bells,43
Ben Folds Five,42
Shiny Toy Guns,39
Disciples,65
Prong,38
Patterson Hood,26
American Aquarium,40
Joyce Manor,51
Capital Lights,29
Tremonti,42
Daniel Johnston,43
Blues Saraceno,47
Charlie Brown Jr.,71
Dexys Midnight Runners,60
Three Souls In My Mind,42
DJ PRESS PLAY,34
10 Years,55
Red Hot Chili Peppers,81
indigo la End,54
Royal Bliss,38
The Smashing Pumpkins,70
Dinosaur Jr.,48
Chicano Batman,46
Jesse Labelle,22
Great Lake Swimmers,45
tofubeats,45
OK Go,51
Disney Peaceful Piano,63
Chris August,33
Ciro y los Persas,58
Hoobastank,64
Moon Taxi,46
my bloody valentine,54
The Flaming Lips,52
Codeine,28
Kate Bush,69
Cultura Profética,61
Francesca Battistelli,50
Hiss Golden Messenger,45
Neko Case,44
Pinback,44
Parabelle,25
DON BROCO,48
Band Of Skulls,44
Art vs Science,30
Todd Agnew,27
H-Blockx,38
Kevin Johansen,51
Beth Orton,38
Ty Segall,44
Caifanes,68
Eve 6,50
mor ve ötesi,60
Giant Sand,27
12 Stones,44
Natanael Cano,87
Blood Command,34
La Lupita,43
Canterbury,22
Audra Mae,38
Sonido Gallo Negro,33
Andrew Peterson,42
Die Toten Hosen,60
Shahin Najafi,38
Five Finger Death Punch,72
División Minúscula,53
Levon Helm,36
Die Ärzte,61
Steven Curtis Chapman,46
My Morning Jacket,50
Jawbreaker,37
Jeff Rosenstock,48
Newsboys,55
Jamestown Story,23
Smash Mouth,65
The Brian Jonestown Massacre,49
The Wallflowers,54
Future Islands,58
Mowgli With the Stogie,0
Elefante,65
Poets of the Fall,47
Veltpunch,33
Lower Than Atlantis,36
Jay Farrar,25
Hole,59
Kinokoteikoku,45
Sussie 4,37
Ana Tijoux,57
Gripin,56
Swans,44
Manafest,47
Battleme,37
Straightener,37
Celso Piña,54
Jason Gray,43
The 1975,74
Fear Factory,50
Paté de Fuá,47
ZAZEN BOYS,32
Allison Russell,54
Splean,47
The Decemberists,53
Gepe,55
Mark Schultz,37
Joywave,54
Baby Woodrose,26
We Are The Ocean,30
Friendly Fires,38
Ray Wylie Hubbard,42
Noah Kahan,83
Thee Oh Sees,46
Blur,67
Cigarettes After Sex,80
Sleeping At Last,65
Marconi Union,57
Nils Frahm,58
Abel Korzeniowski,52
Bethel Music,67
Foreign Fields,37
Dmitri Shostakovich,57
Brambles,39
Clint Mansell,48
The Album Leaf,44
Mercuzio Pianist,50
Liquid Mind,49
Karen Dalton,43
Message To Bears,44
Black Elk,26
Sophie Hutchings,43
paniyolo,35
Oskar Schuster,45
Balmorhea,48
Helios Relaxing Space,53
Masakatsu Takagi,44
Heinali,27
Tom Day,36
Jessica Pratt,52
Lowercase Noises,34
Ex Confusion,28
The Echelon Effect,35
Rivers & Robots,45
Valgeir Sigurðsson,35
Wouter Veldhuis,28
Jonny Greenwood,42
Parachute Band,27
Michael Stearns,29
Tony Anderson,53
Ólafur Arnalds,61
David Lynch,35
Steve Reich,42
Tomáš Dvořák,30
The Orb,42
Greg Haines,25
Stellardrone,38
Alexis Ffrench,59
sleepmakeswaves,35
Fabrizio Paterlini,66
Air Supply,67
Christian Löffler,53
Chilly Gonzales,49
Dario Marianelli,57
William Basinski,39
Young Oceans,43
Armand Amar,45
Desiderii Marginis,27
Rayons,26
Chris Zabriskie,28
Michael Brook,34
Henryk Górecki,33
Aural Method,13
Kyle Bobby Dunn,25
Janis Crunch,22
Max Corbacho,30
Blithe Field,24
MMOTHS,16
Billow Observatory,20
Good Weather For An Airstrike,33
Gustavo Santaolalla,62
matryoshka,29
Keaton Henson,46
Robert Rich,28
Kyson,47
Kid Smpl,11
LIGHTS OUT ASIA,18
Zymosis,23
Hammock,46
Oneohtrix Point Never,45
Jon Hopkins,51
Sync24,31
Phillip Wilkerson,23
Mages of Chronos,49
Mirrorring,12
Yagya,30
Stumbleine,28
Ludovico Einaudi,76
Francis Harris,23
Dustin O'Halloran,51
Kalpataru Tree,20
Class Actress,39
Willamette Stone,41
Kelly Clarkson,71
Ryuichi Sakamoto,59
Urfaust,26
Morten Myklebust,15
Max Richter,69
Fennesz,32
Brian Eno,58
Ryan Teague,24
Motionfield,17
Hakobune,26
Jóhann Jóhannsson,62
Bengalfuel,30
Carlos Cipa,46
Kaminanda,23
Yuichiro Fujimoto,12
Mathias Grassow,19
Recondite,37
Treha Sektori,22
Bersarin Quartett,22
David Sylvian,39
Michael Nyman,48
Gavin Bryars,24
Suduaya,36
Grouper,59
State Azure,31
Paulette Wooten,5
Halgrath,17
Bing & Ruth,32
Brian McBride,26
György Ligeti,32
Hibernation,22
Philip Glass,57
BICEP,59
Chad Lawson,55
Kick Bong,25
Maxence Cyrin,51
Arafúra,6
Textural Being,11
Goldmund,43
Sleep Research Facility,17
The American Dollar,34
Drifting in Silence,26
Peter Broderick,40
yutaka hirasaka,36
Lucette Bourdin,16
Solar Fields,39
Bruno Sanfilippo,26
biosphere,44
Izzat Man,0
Jeff Pearce,28
Ufo361,70
Jim Brickman,53
Mooncake,32
Loscil,37
Miyauchi Yuri,26
Mariee Sioux,27
mulmeyun,17
Harold Budd,55
Sjellos,17
Chihei Hatakeyama,41
Zzzzra,12
Lunar Aurora,18
Giriu Dvasios,22
Zbigniew Preisner,44
Akira Kosemura,50
From The Mouth of The Sun,20
The Future Sound Of London,37
Mokhov,28
Jozef Van Wissem and Jim Jarmusch,12
Burzum,46
Ulrich Schnauss,34
Elderwind,21
Hypnagogic Brown Noise,25
Jefre Cantu-Ledesma,31
Dublicator,23
nikosf.,23
SHeDAISY,35
Sad Beautiful World,14
Chris Voro,11
Chronotope Project,12
Peter Bjärgö,15
Monolake,23
SiebZehn,22
Christopher Willits,27
Craig Padilla,19
yoshinori takezawa,20
Ametsub,16
Nordvargr,11
Etnia,8
AstroPilot,39
Dave Luxton,14
Michael Mayer,30
Thomas Köner,20
Sabled Sun,23
Katie Kim,14
Ishq,32
KASHIWA Daisuke,26
Mc Fael Halls,33
acronym.,58
Taphephobia,8
Make Them Suffer,54
Angelmaker,45
Xasthur,34
Woods Of Ypres,39
Alcest,44
Les Discrets,30
Panopticon,27
Yellow Eyes,22
Sólstafir,33
Mgła,38
Anaal Nathrakh,35
Dexys Midnight Runners,60
Carach Angren,32
Blut Aus Nord,29
Gehenna,22
Psychonaut 4,39
Feigur,14
Goatwhore,28
Deathspell Omega,30
Samael,34
God Seed,19
Therion,46
Xanthochroid,21
Marduk,38
Enslaved,35
Deicide,45
Behexen,27
Naglfar,25
Photophobia,13
Krallice,17
The Secret Sisters,49
Borknagar,34
Nunslaughter,23
Ihsahn,35
Cradle Of Filth,49
Eisregen,32
Winterfylleth,22
Amiensus,17
Cult Of Fire,21
Snuffed on Sight,38
Young And In The Way,16
Deafheaven,40
Azaghal,16
Bosse-de-Nage,11
Dragged Into Sunlight,21
Dawn Of Ashes,25
Lord Mantis,12
Vader,38
Deathhammer,16
Watain,36
Saturnians,0
Vanhelga,17
Mephorash,20
Tristam,47
Harakiri for the Sky,35
Abigail Williams,20
Drudkh,28
Svartidaudi,11
Tsjuder,26
Keep Of Kalessin,20
Nattefrost,27
Blodsrit,7
Impiety,10
Tardigrada,18
Forgotten Tomb,27
Nargaroth,33
Assemble the Chariots,18
Ov Hell,8
Jute Gyte,9
Latitudes,24
So Much for Nothing,3
Nechochwen,11
Fistula,14
Morbid Angel,44
Fenriz Red Planet,5
Nadine Lustre,50
Kardashev,29
An Autumn for Crippled Children,23
Wodensthrone,5
Sodom,45
Ash Borer,5
Der Weg einer Freiheit,25
Desasterkids,17
Gospel of the Horns,9
Jake La Furia,57
Master´s Hammer,12
Blodhemn,7
Ulver,39
Downfall Of Gaia,17
Moonspell,40
Cadaveria,17
Utarm,3
ICS Vortex,8
DENIAL OF GOD,7
Terra Tenebrosa,10
Catamenia,27
Ragnarok M: Eternal Love,21
Aura Noir,20
Heretoir,29
Germ,63
Wedard,16
VEMØD,26
Dodecahedron,5
The Forefathers,0
Nachtmystium,15
Graveworm,29
Ellende,28
Black Hate,20
Al-Namrood,18
Hothouse Flowers,37
Seirom,2
Excessum,10
Advent Sorrow,27
Mortuorial Eclipse,2
Samothrace,3
Unleashed,29
Mizmor,20
Profanatica,20
Slomatics,18
Undergang,20
Blood Incantation,29
A Forest Of Stars,14
Vreid,21
The Great Old Ones,15
